config,seed,mae,rmse,wape,smape
"RC default (sr=0.60, leak=0.15)",1,673.0918297489058,875.7261050585377,0.3108155662485134,0.4494543921707026
"RC default (sr=0.60, leak=0.15)",2,472.4598905341001,541.8291776077507,0.2181691738270661,0.23480071420133458
"RC default (sr=0.60, leak=0.15)",3,423.40206871349193,502.12742314171584,0.19551560117297642,0.21093916141612953
"RC default (sr=0.60, leak=0.15)",4,412.94533547722546,478.94805806455355,0.19068696514102182,0.2083078400235854
"RC default (sr=0.60, leak=0.15)",5,348.2522810951492,445.7723252234097,0.16081346580347677,0.17620040600148573
"RC default (sr=0.60, leak=0.15)",6,352.6982244231305,442.9656746886338,0.16286648194766443,0.17397425462102248
"RC default (sr=0.60, leak=0.15)",7,324.2944321758988,423.41662100576525,0.14975038042817068,0.1652865444138166
"RC default (sr=0.60, leak=0.15)",8,275.0636282291289,369.8441667442524,0.12701692931601993,0.1399440152707903
"RC default (sr=0.60, leak=0.15)",9,1966.124323337456,2262.835716032065,0.9079029307205763,0.6064913072112066
"RC default (sr=0.60, leak=0.15)",10,405.0350481139048,522.1670205701652,0.18703420880473384,0.19197577539223706
"RC mais contido (sr=0.20, leak=0.15)",1,650.5162854266005,781.8370776456369,0.3003907916757433,0.4028072501241888
"RC mais contido (sr=0.20, leak=0.15)",2,425.12140607173575,576.7020265653072,0.19630954457112185,0.19393348176087918
"RC mais contido (sr=0.20, leak=0.15)",3,391.7887677238104,472.99373041068,0.18091743549362463,0.1970193586860583
"RC mais contido (sr=0.20, leak=0.15)",4,361.63436849355674,438.90108802210347,0.166992951110667,0.1813751366017217
"RC mais contido (sr=0.20, leak=0.15)",5,355.11586220726315,462.0308793435944,0.16398288155860505,0.18048988868537721
"RC mais contido (sr=0.20, leak=0.15)",6,434.30296015787843,532.2314494030284,0.20054933742879236,0.21425435288031228
"RC mais contido (sr=0.20, leak=0.15)",7,275.28009589781044,347.305381193337,0.12711688821916223,0.14202339282859688
"RC mais contido (sr=0.20, leak=0.15)",8,327.4515757886329,410.21418412400755,0.15120826379021637,0.16321486852738928
"RC mais contido (sr=0.20, leak=0.15)",9,1236.2133616322633,1611.1830423577517,0.5708498291281404,0.4282271920719569
"RC mais contido (sr=0.20, leak=0.15)",10,322.39696115249245,415.3554673025319,0.14887417973085987,0.16566801252535743
"RC mais contido e mais rapido (sr=0.20, leak=0.30)",1,612.8937839951473,717.5297391811899,0.28301774008118613,0.35949242426400213
"RC mais contido e mais rapido (sr=0.20, leak=0.30)",2,340.6029308691722,447.64994073881866,0.1572812031658406,0.163096656321904
"RC mais contido e mais rapido (sr=0.20, leak=0.30)",3,379.5051207132121,454.36235727137137,0.1752451801898866,0.1909128730046238
"RC mais contido e mais rapido (sr=0.20, leak=0.30)",4,339.5352247854667,420.66265924183415,0.15678816543112659,0.1694423221178713
"RC mais contido e mais rapido (sr=0.20, leak=0.30)",5,372.45074226530545,479.39023657552076,0.1719876593956803,0.1979515088169465
"RC mais contido e mais rapido (sr=0.20, leak=0.30)",6,406.9975778066963,494.0241056146359,0.18794045183248248,0.2025714955474454
"RC mais contido e mais rapido (sr=0.20, leak=0.30)",7,283.77595754821056,368.20724689178957,0.1310400468922117,0.1442928604053723
"RC mais contido e mais rapido (sr=0.20, leak=0.30)",8,431.3421492771936,521.3310973491846,0.1991821152018072,0.22471631381139612
"RC mais contido e mais rapido (sr=0.20, leak=0.30)",9,1056.812054856707,1463.0430362173859,0.48800716741886196,0.374061223556956
"RC mais contido e mais rapido (sr=0.20, leak=0.30)",10,311.12115611581686,399.34547033556265,0.14366731853825027,0.158545431064017
